smiles,bond_index,atom_type1,atom_type2,bde,bdfe
[H]C#CC(O[H])(/C([H])=C(\[H])Cl)C([H])([H])C([H])([H])[H],2,6,8,72.61911010742188,60.91292572021485
[H]C#CC(O[H])(/C([H])=C(\[H])Cl)C([H])([H])C([H])([H])[H],3,6,6,82.86758422851562,68.42483520507812
[H]C#CC(O[H])(/C([H])=C(\[H])Cl)C([H])([H])C([H])([H])[H],5,6,17,95.13538360595705,85.848876953125
[H]C#CC(O[H])(/C([H])=C(\[H])Cl)C([H])([H])C([H])([H])[H],6,6,6,62.44091033935547,48.04271697998047
[H]C#CC(O[H])(/C([H])=C(\[H])Cl)C([H])([H])C([H])([H])[H],7,6,6,91.52344512939452,77.63729858398438
[H]C#CC(O[H])(/C([H])=C(\[H])Cl)C([H])([H])C([H])([H])[H],8,6,1,131.4945068359375,122.99427032470705
[H]C#CC(O[H])(/C([H])=C(\[H])Cl)C([H])([H])C([H])([H])[H],9,8,1,106.28621673583984,97.99118041992188
[H]C#CC(O[H])(/C([H])=C(\[H])Cl)C([H])([H])C([H])([H])[H],10,6,1,109.92953491210938,101.1638641357422
[H]C#CC(O[H])(/C([H])=C(\[H])Cl)C([H])([H])C([H])([H])[H],11,6,1,108.17376708984376,99.61140441894533
[H]C#CC(O[H])(/C([H])=C(\[H])Cl)C([H])([H])C([H])([H])[H],12,6,1,99.39742279052734,89.47964477539062
[H]C#CC(O[H])(/C([H])=C(\[H])Cl)C([H])([H])C([H])([H])[H],13,6,1,99.39742279052734,89.47964477539062
[H]C#CC(O[H])(/C([H])=C(\[H])Cl)C([H])([H])C([H])([H])[H],14,6,1,100.12533569335938,90.93985748291016
[H]C#CC(O[H])(/C([H])=C(\[H])Cl)C([H])([H])C([H])([H])[H],15,6,1,100.12533569335938,90.93985748291016
[H]C#CC(O[H])(/C([H])=C(\[H])Cl)C([H])([H])C([H])([H])[H],16,6,1,100.12533569335938,90.93985748291016
[H]C1=C(C([H])([H])[H])C(=O)c2c([H])c([H])c([H])c([H])c2C1=O,1,6,6,106.33265686035156,93.0608367919922
[H]C1=C(C([H])([H])[H])C(=O)c2c([H])c([H])c([H])c([H])c2C1=O,14,6,1,111.63385009765624,102.89955139160156
[H]C1=C(C([H])([H])[H])C(=O)c2c([H])c([H])c([H])c([H])c2C1=O,15,6,1,86.01077270507812,78.01568603515625
[H]C1=C(C([H])([H])[H])C(=O)c2c([H])c([H])c([H])c([H])c2C1=O,16,6,1,86.01077270507812,78.01568603515625
[H]C1=C(C([H])([H])[H])C(=O)c2c([H])c([H])c([H])c([H])c2C1=O,17,6,1,86.01077270507812,78.01568603515625
[H]C1=C(C([H])([H])[H])C(=O)c2c([H])c([H])c([H])c([H])c2C1=O,18,6,1,113.35636138916016,104.77204132080078
[H]C1=C(C([H])([H])[H])C(=O)c2c([H])c([H])c([H])c([H])c2C1=O,19,6,1,111.3219757080078,102.814208984375
[H]C1=C(C([H])([H])[H])C(=O)c2c([H])c([H])c([H])c([H])c2C1=O,20,6,1,111.30754852294922,102.75271606445312
[H]C1=C(C([H])([H])[H])C(=O)c2c([H])c([H])c([H])c([H])c2C1=O,21,6,1,113.49943542480467,104.86491394042967
[H]N=C(N([H])[H])N(C([H])([H])[H])C([H])([H])C(=O)O[H],1,6,7,96.20403289794922,82.85063934326172
[H]N=C(N([H])[H])N(C([H])([H])[H])C([H])([H])C(=O)O[H],3,7,6,82.33796691894531,69.44830322265625
[H]N=C(N([H])[H])N(C([H])([H])[H])C([H])([H])C(=O)O[H],5,6,6,85.9819107055664,72.7044448852539
[H]N=C(N([H])[H])N(C([H])([H])[H])C([H])([H])C(=O)O[H],7,6,8,111.02704620361328,99.49594116210938
[H]N=C(N([H])[H])N(C([H])([H])[H])C([H])([H])C(=O)O[H],8,7,1,99.30392456054688,91.0000991821289
[H]N=C(N([H])[H])N(C([H])([H])[H])C([H])([H])C(=O)O[H],9,7,1,100.9272918701172,92.46408081054688
